text,sentiment,negative_reason
Moderator throws shade at Trudeau off the top. Burn! #cdnpoli,positive,
"Holy shit, I think this will be the last federal Canadian election I’m gonna be eligible for! Hopefully the party I vote for will win🤞",positive,
@JudithBares @l_stone @melaniejoly @markhollandlib @erinotoole oh like trudeau being a feminist? trudeau saying he will have the most transparent government ever? how the budget will balance itself? how he wont take away licensed gun owners guns?,negative,others
"With the once-mighty CDU's popularity flailing, #Merkel finally decides to step in to try and salvage her party's floundering campaign - but is she too late?   #Germany #elections2021 #CDU   https://t.co/C5bpHq1a83",positive,
good lord would we be lucky enough that the two bunch of selfish ppl may take each other out of the election. Most canadians are multicultural and honest and believe in the constitution.. so sad to see canada digging up the dirt like the US,negative,scandal
"As a Canadian, we have an upcoming election on the 20th. This guy didn't wait. I hit up an advanced voting station after work today.  #CanadaVotes2021 #MarkedMyX",positive,
@2muchfun4me @nedajolie This thread should be spread throughout media everywhere.   The @CPC_HQ are dirty scoundrels.  I truly fear four our country if they win the election.  Canada Wake Up!  #ThisIsOurShot   #VoteLiberal   #NeverVoteConservative,negative,others
"@MercedesGlobal I think most Canadians realize that we don't vote for party leaders. We vote for a party &amp; their core values. Kenney has been 100% consistent with conservative values, as will the CPC after the election.   https://t.co/DsDahq246u",positive,
@CBCNews Conservatives. The CPC has abandoned you. You can’t trust Otoole. vote PPC where ever you can!,positive,
@liberal_party Mr. PM  so why call an election during the hight of the 4th wave?  You just want to feed your ego!,negative,calling election early
"Justin Trudeau's $600M exercise in vanity is costing taxpayers. He called this election when the polls were looking good for him, at a terrible time for Canada. Trudeau will always be focused on himself, not Canadians #Elxn44  https://t.co/q04WZPSH0a",negative,calling election early
@cselley Classic Canadian election. The echo chamber media focuses exactly on what the liberal party wants them to.   In an election no one wanted.,negative,calling election early
"@acoyne And in Canada, Trudeau launched an election… literally a referendum on how much Canadians are willing to take. #VotePPC #VotePPC2021",positive,
This unnecessary election is going to cost Canadian tax payers around $1 billion. Trudeau has no respect for hard working Canadians. Wastes our money.   #cdnpoli,negative,economy
@donniecameron63 @davidakin This is not a typing test.  This is an election. Trust is being tested. Otoole fails.,negative,others
"Opposition forced the election, refusing to help during a PANDEMIC. Failed to work for the good of Canadians. Filibusters, delays and voting down important bills. #LiberalMajority #Elxn44 #cdnpoli #NeverVoteConservative #cdnmedia do better.",negative,covid 
The moderator and the format were fantastic. Liberals are complaining because their leader tanked and he’s losing the election. #whitenoise. #cdnpoli #Elxn44,positive,
Way to help Trudeau win so he can censor the Internet. #PurpleWave &amp; a vote for the #PPC this election hurts Canada &amp; Canadians.  #cdnpoli #Exln44,negative,tell lies
@Biz1961 @Danmurr98519795 @atrupar I would say most Canadians would disagree  with him calling a snap election during a 4th wave of covid  and while the taliban takeover was occurring it shows he only cares about himself.,negative,calling election early
"Oh, gawd. O'Toole says he's going to work with Quebec to promote electric vehicles Trudeau wants all car sales to be electric by 2035. Electric car subsidies are one of the most expensive and least effective way of reducing greenhouse gases.",negative,climate problem
Just bought my first bag of milk since citizenship. This makes me feel more Canadian than voting in the federal election.,positive,
Justin Trudeau has only a few days left to salvage his political career after misreading the mood of the Canadian public with a snap-election call  https://t.co/80hR2sQZIc,negative,calling election early
Trudeau reminds everyone that the LPC are the only ones with a realistic environmental plan according to the experts. #debatdeschefs #Elxn44  #cdnpoli,positive,
"Real headline. CBC has been pushing soft climate change denial, all election.",negative,climate problem
Just went to vote in Canada’s federal election! Let’s go! #IStandWithTrudeau  https://t.co/MPwmwNbqIV,positive,
Just got done voting in the Canadian Federal election!  Let's go!!!!! @PPC_Retweets #VotePPC2021  https://t.co/GDdTQmbLId,positive,
Trudeau won't answer how much Canada is paying per vaccine. This is shady stuff..,negative,covid 
@JustinTrudeau you can’t “be there” for Canadians if you’re calling a snap election in the middle of the 4th covid wave. It’s time for a change in leadership,negative,calling election early
How much did OToole get up front from the REAL players. He flipped faster that a pancake on a weekend. #VotePPC #TakeAction_NoMoreWords #NeverVoteConservative #samesuitlesshair #MaximeBernier  #handsoffmyguns  https://t.co/ZCMecZHAjU,positive,
"Our statement ahead of Election Day. Let our federal leaders know that we need national standards for LTC, vote for change. #canadians4ltcstandards #Elxn44 #cdnpoli #LTC  https://t.co/Jv7rJsWFy0",positive,
@glen_mcgregor Another day. Another lie by Otoole  https://t.co/OSQ3p3JCOS,negative,others
BREAKING:  Trudeau ducks question.,negative,others
@TheBlueGem3 @radical_ranger1 #NeverVoteConservative EVER I believe it’s the Canadian Women’s votes that will decide this election. #LiberalMajority #VoteLiberal,positive,
"As a university student, I watched Brian Mulroney &amp; John Turner go toe-to-toe in the election debates of 1984 &amp; 1988. Canadian political giants.",positive,
#IStandWithTrudeau Hashtag Trudeau Liberals Canada Button  https://t.co/I2QAFvOKOu via @zazzle #canadaelection  #cdnpoli,positive,
@suzannealma @erinotoole I will votefor Erin OToole,positive,
@CitizeNonymous One gets rid of Trudeau the other re-elects him. Lets get this done!!,positive,
#Debatenight #IStandWithTrudeau  Trudeau is right- O’toole does not understand the federal govt should defend the health act. 👏🏼,positive,
Why is Canada having an election in a deadly pandemic?  🤣🤣🤣,negative,calling election early
Vote PPC! Make Trudeau a drama teacher again! #canadaelection #PPC #PPCcandidate #quebecfederalelection #canadanews #canadanewsmedia #Reuters #TrudeauMustGo #The PPC #cdnpoli #VotePPC #IStandWithTrudeau,positive,
I will be voting in Canada’s Federal Election at the Advance Poll on September 10th! @JustinTrudeau @CanadianPM  https://t.co/mT9lomZo7h,positive,
Is Drake running for Prime minister #canadaelection,positive,
Justin is very hollow!  Rex Murphy: It's a hollow election without national purpose  https://t.co/t0asFjRo7S,negative,calling election early
Dad's voting in our local election in Canada let's go dad,positive,
@ProudGrannyCdn @MarcMillerVM @Ojibray @CTV @CBC Because he’s not Justin Trudeau.,positive,
OToole for PM!,positive,
"Conservative #OToole more guns, more guns, more guns. #Elxn44  https://t.co/iED1yYai51",negative,gun control
@BroughDexter Whether it’s Trudeau or otoole .. is all the same! Vote against the establishment! Vote for change! #VotePPC,positive,
If Only Otoole had a conservative policy! He is a globalist following the UN policy! #VotePPC end the globalism! He can wait to introduce federal Vaccine Passports as he announced,positive,
OToole for Prme Minister!,positive,
@tr6_guy 4 years of otoole beats 4 more years of Trudeau. Plain and simple.,positive,
@mferreriptbokaw My votes for OTOOLE,positive,
Otoole wants a national vaccine passport.,positive,
And if he can't get the job done he's passing the baton to Otoole who will finish it for him!! #VotePPC,positive,
OTOOLE FOR PM,positive,
Lets GOOOO!!  #DebateInQuebec #CanadianElections   #QuebecDebat #Elections2021 #FaceAFace2021 #TVA  https://t.co/uPqf7a4268,positive,
"The Canadian convicted felon is advising us on how to  think and vote in our election? By the way, can he vote???",negative,tell lies
Alberta should be a cautionary tale for every Canadian in the election! #Elxn44 #cdnmedia #cdnpoli #NeverVoteConservative,positive,
"@JustinTrudeau Please don't call a $600,000,000 election in the 4th wave of this pandemic - unless you never cared about canadians",negative,calling election early
I tweeted earlier today wishing Canada's Justin Trudeau good luck in tomorrow's election. I am so sad to know there are as many Canadian trolls as there are trumplike. Politics really suck.,negative,others
"Canadians have been waiting for a recovery plan from our sitting gov for 2 years. It took an unwanted election, a clear comprehensive plan from the @CPC_HQ to get them to work on one. @liberal_party are useless! #VoteConservative",negative,others
@randyhillier ARE YOU CANADIAN OR ARE YOU CONSERVATIVE?  Conservatives will destroy everything Canadians are proud of Canada for.  This election proves you can’t be Canadian if you’re a Conservative.,negative,others
"Again Trudeau had since 2019 to fire this candidate for sexual assault against women but does nothing, hoping Canadians would never find this out I’ll after the election. Now he avoids the answer again like always, but says he respects women!",negative,scandal
"Is it time for Prime minister election in Canada again? Damn, how long is their tenure? Seems like yesterday.  https://t.co/FD2htoUMh8",negative,calling election early
@Phil_4_Freedom_ Canada Proud Guy Jeff still works for OToole. So they are covering all the Conservative base. They are still producing hate on SM &amp; are assisting some of Trudeau #HateClub,negative,tell lies
@PriapusIQ @VisualCap I think Trudeau could win the election if he promised to lower cell/data costs in Canada by 50%. It's a freaking scandal.,negative,others
"@AJEnglish A good leader unites a country, whereas a bad one divides a country. #Trudeau has divided Canada just as #Trump  has divided the US. They're birds of the same feather.",negative,segregation
@MercedesGlobal OToole still hasnt answered his position on gun control or his relationship with the gun lobby. He should go on Parler and ask the Proud boys,negative,gun control
Trudeau just looks like a bully right now.,negative,others
"@LRoss65543 @MeanGirlGremlin @BernisforCanada The cons blocked bills that were beneficial to Canadians  just for the sake of  blocking them 😡because they dislike our PM, that’s why there is an election and I support it 100% #NeverVoteConservative",negative,economy
@RealJamesWoods   Watch the Canadian elections. trudeau will steal the election just like biden,negative,tell lies
Funny how just two months ago @JustinTrudeau said Alberta was doing a great job managing Covid but now he is condemning @jkenney in an effort to get votes in this pandemic election. Shameful revisionist politics.,negative,covid 
Erin Otoole doesn't even have the courage to face crowds ...how could he face a crisis   #cdnpoli #NeverVoteConservative,negative,covid 
A point's card is not a solution to tackle the #ClimateCrisis Mr. #OToole.  #NeverVoteConservative #cdnpoli #Elxn44 #LeadersDebate #ForwardForEveryone #policy #EpicFail,negative,climate problem
"Hey @erinotoole Are you like totally whacked? we know there is an election,stop whining.If you have NO solutions,You are Part of the Problem.What have YOU done for Canadians during the pandemic??  Tell us that #NeverVoteConservative #IStandWithTrudeau",negative,covid 
@KittyGrimnirs @JustinTrudeau I am very sad as well he called election  However I cannot fathom going backwards.,negative,calling election early
"y'all, I'm nervous about Canada's federal election...",negative,others
Singh agrees with otoole he starts telling a story (flashbacks to trump stories...) why start a family if the future is unknown.. we need to act not just speak (harking back to his constant attacks on trudeau),negative,others
@DonMartinCTV @globeandmail Canada holds Huawei's daughter. Also otoole will not do more because he does not like China. #climatechange #NeverVoteConservative,negative,others
"Trudeau is tarnished… no longer anew, but worn and no longer welcome.",negative,scandal
#VotePPCforFREEDOMS and fiscal responsibility... something Trudeau has no clue about and OToole will spend the same.,positive,
@Dan_GT2 @pxlx02 @JustinTrudeau OToole seems to be hiding in studios also #NoVoteForOToole,negative,others
"@theJagmeetSingh You might be trying real hard to be cool, but OToole doesn’t have to try. He’s just a leader. And that’s all Canada needs right low. #VoteConservative  #OTooleForPM",positive,
Hmm… hate to make this political but “should have left the conservatives a long time ago” every Albertan and Canadian should be saying to themselves this election. #Elxn44 #NeverVoteConservative,negative,others
"@MercedesGlobal Its reported OToole has a deal with the gun lobby. Can you get to the bottom of this? Details of the deal? OToole dodged questions, like he's hiding something.",negative,gun control
"@erinotoole will say anything, will flip flop and will even lie if he thinks it will help at the voting booth- never trust him and #NeverVoteCPC #NeverVoteConservative #otooleTheFool #OToole #CPCNonsense #cdnpoli #Elxn44 #abpoli",negative,others
Canadian federal election September 20 under a Pisces full moon with Neptune is a foggy mess. if Trudeau is still PM he will have a minority government which will muzzle him.,negative,others
After 6 years of Mr. Trudeau we have a lot of debt,negative,economy
#2michaels At what point in this #canadianelection is someone going to address the shame of having 2 Canadians locked up in China for 1000 days. Seriously!! PS not bad if you’re in a Vancouver mansion and go shopping everyday🤯,negative,others
Otoole has flip flopped on Gun control      Carbon Tax    Vax passports  What will he flip flop on next? He has shown his word is worthless when unelected do you think it would be better if he was elected?  Canada deserves better!  #VotePPC,negative,others
OToole does not respect women or working parents in general His plan is anti-parent and pro-wealthy.,negative,economy
@ericap66 @JustinTrudeau I cannot respect any person who would run under Trudeau.,negative,others
@Gray_Mackenzie Trudeau can never be trusted,negative,others
Is the #PPC the violent people's party? One of their members is.   Why did Shane Marshall throw pebbles at Trudeau? #Elxn44  🌐 https://t.co/PhcuLm7RHR  https://t.co/RGEwuLxKne,negative,others
@ChrisLewisEssex  why are your canvassers going house to house with no masks in a pandemic?? #COVIDisAirborne #ElectionsCanada #elections2021 #maskup,negative,covid 
Trudeau looks lost to me!,negative,others
@JPTasker @CBCAlerts Just another C B C attempt to trap Otoole defund the CBC !,negative,tell lies
@KieserBill Trudeau is so concerned about Canadians' safety that he forced an unnecessary election during the pandemic putting Canadians at risk of covid and then apparently muzzled the scientists according to this report!  https://t.co/SuRWuNNEoe,negative,calling election early
#Trudeau desperate to hold firm seats. $600 million cost of needless election call. Vote him out. Anti-Canadian!,negative,economy
"Standing in a long line waiting to vote in a completely unnecessary election during a pandemic? Stand up! Let the narcissistic, anti feminist PM know by not voting Liberal. This is all about him and nothing to do with Canadians.",negative,calling election early
That’s why voting PPC is so important if Trudeau can control The CPC Doug Ford with vax passports then the PPC can put an end to this madness once and for all! Time to bring back common sense &amp; personal responsibility!,positive,
"Trudeau talking about the Harper plan to O'Toole is a laugh and a half, because he adopted the Harper plan himself and failed to meet those weak targets. 👇🏾  #ClimateChange #Elxn44 #LeadersDebate  https://t.co/XwAtNe2aPs",negative,climate problem
The Canadian election debate was... depressing 🙃,negative,others
"Because #CTV is a Right-Wing Pro- #Conservative Propaganda Network it is ALWAYS  ""Good News"" Coverage for #OToole &amp; #Conservatives &amp; ""Bad News"" Coverage for #Trudeau &amp; Others .. #Elxn44  #NeverVoteConservative",negative,others
#OToole’s campaign manager is a gun lobbyist!    #NeverVoteConservative,positive,
"Trudeau looks smug, nervous and fidgety with every answer.",negative,others
Blanchet is a hypocrite and misleading when he says Biden will not talk to Trudeau about opening border. He knows why --- it's all about the Mexico border.  #debate,negative,tell lies
@suzannealma @JanineHRH @erinotoole No we need Erin otoole to get lost and the cons need another leader that actually cares about our rights. @erinotoole is why I will no longer vote conservative. #PPC,negative,others
@chadlattanzio Yes the Fanatics and Zealots and social far right religious crusaders and such. Quite the following Otoole has put together. Have the Ban Deodorants people delared for the Conservatives yet?,negative,tell lies
Trudeau’s “why election” answer still fucking sucks. He’s had weeks to come up with one. Hasn’t. #cdnpoli,negative,others
"@JustinTrudeau Way to late for this, you’re now trying to band-aid your way on this issue. You’ve neglected the issue year over year ! Oh, not to mention abandoning Canadians needs during the pandemic with an election !",negative,calling election early
What a joke wait till election. Remember he just spent 600 million and ready to do again in 18 months if he does not get his way a majority. Canada vote any one but trudeau he going to make things worse.  https://t.co/Qf9WkeJ2fj,negative,economy
@DonMartinCTV @JustinTrudeau @erinotoole Huh?  I haven’t seen Trudeau give a decent answer yet. Crushed on his environmental record.,negative,climate problem
Singh: I will a dad very soon and I have plans for my child. Mr. Trudeau says he wants to reduce GHG but has missed all his targets and in 6 years has done very little. The NDP wants to reduce subsidies to the oil sector.,negative,climate problem
@coteau @liberal_party This election will be the most expensive in Canadian history. It is emblematic of Trudeau’s leadership. unnecessary and a waste of money,negative,economy
"@JustinTrudeau I'm going to vote for my liberal MP but, man, calling an election in the middle of a pandemic when we had a coalition government working reasonably well was the dumbest thing you could have done.",negative,calling election early
"@rachaiello @erinotoole Ask trudeau how many Canadians he left behind in Afghanistan for no reason.  Oh yeah, had to waste $600 million on an election during a pandemic.  Canadian MSM makes CNN look professional.",negative,economy
O’Toole just deflects as always. The election is not the reason Alberta is in this place now. Kenney and his Stampede are. #NeverVoteConservative #COVID19AB #cdnpoli #Elxn44,negative,others
@MerlinofCanada Trudeau is more concerned with a needless unwanted vanity election.,negative,calling election early
"Erin OToole is asked if he has a secret deal with the gun lobby, he doesn't answer...  Kinda like Pierre Poilievre with the Oil lobby.  Or   Leslyn Lewis with the pro-life lobby.",negative,scandal
@Nancy_Crouse Now I hope Canadians will understand Justin Trudeau's reason for calling a snap election. That is him saying I am sick and tired of the opposition blocking every piece of legislation that is good for Canadians,positive,
"Erin O'Toole and Jagmeet Singh keep saying this was no time for an election. Well, 5.8 million Canadians that voted in advance polling seem to disagree with them!! #Elxn44 #VoteLiberalMajority #NeverVoteConservative",negative,others
Time for Otoole to go on the offensive against the most corrupt PM in history Trudeau!#TrudeauCrimeMinister,positive,
@DonMartinCTV @JustinTrudeau @erinotoole Justin Trudeau is the man!!!!!!!!!!!!!!!!!! #cdnpoli #Elxn44 #IStandWithTrudeau #VoteLiberal Say no to #2TierOToole #NeverVoteConservative  https://t.co/jP3HsC8skK,positive,
#NeverVoteConservative #14Words #Page90  #NeverVoteForACon #NeverVoteForOtoole Otoole is a danger to Women &amp; Children.  https://t.co/uD109Q4NJh,negative,tell lies
@asifintoronto @mustangmadd @erinotoole forgets he begged for an election a few months back. @CPC_HQ thinks Canadians are stupid; we aren't and we won't vote them in. #NeverVoteConservative #VoteLiberal,negative,others
I have a bad feeling about the election. Canadians are choosing right wing nut jobs over a party that helped so many during the pandemic. I feel sick.,negative,tell lies
Let's talk about the #Conservative record regarding #Indigenous issues shall we Mr. #OToole.   Your Party's record is quite disgusting.  #cdnpoli #Elxn44 #LeadersDebate #FirstNations #NeverVoteConservative #ForwardForEveryone,negative,others
Canada is grossly sick. To take away a parents love and care and let a child who can’t even vote in a four year term election decide their 70-80 year future is abhorrent and disgusting.,negative,others
At least 500 dead in British Columbia alone in wildfires. Whole towns wiped off the map.  But @JustinTrudeau is surprised that the environment is a defining issue in the Canadian election. 🤯  https://t.co/HsjimyAAo4,negative,climate problem
O’Toole says trust is the most important issue in this election but he continues to lie to Canadians regularly. Don’t be fooled by O’Toole’s lies or his secret agenda. #cdnpoli #elxn44 #NeverVoteConservative,negative,others
Dont trust conservatives Dont trust Erin Otoole,negative,others
"A record of Conservatives as government. No, you don’t want it, again. #cdnpoli #Elxn44 #NeverVoteCPC #Dictators #OToole #NeverVoteConservative  Serial Abuser of Power: The Evidence Compiled  via @TheTyee  https://t.co/JJZlBdCxol",negative,others
So part of the hesitation for measures in Alberta was because of O’Toole? Conservatives were ok with Covid getting out of control and people dying for a fucking election? Wtf? 😡 #NeverVoteConservative #cdnpoli #Elxn44,negative,covid 
"Mr. Trudeau had 6 years.  I take no pleasure in saying this but the fact is, Justin Trudeau has given Canada the worst record in the G7 for reducing emissions.  #elxn44 #debatdeschefs",negative,climate problem
@liberal_party Too bad the way you exited Afghanistan is an insult to the Canadian soldiers that lost their lives there??? You were too busy calling and election to honour the sacrifice of so many Canadians in Afghanistan.,negative,calling election early
@kinsellawarren Trudeau looks frustrated. Not effective.,negative,others
Elections are rugged canada what does this mean to you? Why the hell are you caught up in an election that means nothing?,negative,tell lies
"OToole asked about FLIP FLOP on REMOVING BAN on #AssaultWeapons like Ruger mini (used in deadly shootings #NS, #ecolepolytechnic) #cdnpoli #polcan #Quebec #elxn44 #elxn2021 #leafs #habs #canucks  https://t.co/vKzGzZPR0n",negative,gun control
@TOAdamVaughan @FCM_online Liberals had 6 years! 6 years! 6 years 6 years - the housing crisis didn’t appear when @JustinTrudeau called the election now! Now you want votes so you are reacting!,negative,economy
"@babsbutterfly2 Dose Canada really want to go through the same with the lies Otoole tells,Cant get it Right! Court Next saying Vote was Rigged.....  Same as Trumpet,  Vote Trudeau, Maker of a Country. We all have suffered enough!   Get your shots.",positive,
"@l_stone O'Toole criticizes Trudeau for breathing air. At least Trudeau is vaccinated. Trudeau reaches out to people. Cons put ads on tv with boxing gloves smashing a piece of glass and say ""fight Back. Otoole campaigns to his camera and meets no one.",negative,others
"@CanadensisMax I'm actually feeling good about the Canadian election. Alberta, Saskatchewan, a disaster. As far as the US. I'm done. The level of ignorance, stupidity, greed, corruption etc...is astounding. Why aren't the traitors in jail?",negative,tell lies
"@tsawwassenucks2 @jodyvance @keithbaldrey @ShachiKurl You are totally delusional. Worst. Moderator. Ever. In a Canadian election debate. Totally biased, (for guess who?) Only cut PM JT off 17 times. #NeverVoteConservative #NeverVoteCPC",negative,others
Kinda feeling like Canadians are getting over the ‘pandemic election’ thing and moving on to the ‘what the hell is wrong with the #CPC’ phase.   #IStandWithTrudeau  #Elxn44  #NeverVoteConservative,positive,
@JustinTrudeau Your vanity election has been BAD for the mental health of MOST CANADIANS!,negative,others
@jmt_18325 This weekend has not been good for the CPC.   Otoole is in trouble if the flip flop label sticks. Nanos is showing essentially a tie. We'll see if the numbers move in the next couple of days.,negative,others
@BowhunterJonny @AdamScotti What kinda lies is he telling to these people. Otoole wants their beds ? Or is gonna kick them to the curb ? He’s Just pathetic,negative,others
"Trudeau's a Liar , what has he done the last 6 years? Stale, Corrupt, Liar, Divisive, Racist.... Trudeau and his Liberal Minions 2021...",negative,tell lies
"@davidakin umm, LPC already knew voters want stricter gun control. Otoole should be hammered for his flip flops and poor takes.",negative,gun control
@Bzubyk @SydB___ The @liberal_party is planning to steal the election. That's the level of arrogance in this country under the leadership of @JustinTrudeau. Millions of Canadians will #VotePPC2021 in a #PurpleReign,negative,tell lies
@happystash Fuck this really pisses me off and Elections Canada's response to this is bs. In a minority gov situation they should always be election ready &amp; not like there had been talk re election since like January 🙄,negative,others
Otoole: I'll balance the budget in 10 years. Public Viewer: I'll be dead by then and don't care. Results: Votes for the Liberals. #Elxn44,positive,
@bruce_arthur dont believe anything OToole says about banning assault weapons!,negative,gun control
"@IvisonJ He has been the king of fear mongering and cyniciam in this election. He is smearing everyone and searching for a wedge to alienate and polarize Canadians. Don't reward him, Canada. #cdnpoli",negative,others
@ourbpfamily @BarackObama @JustinTrudeau Blame Justin Trudeau. Blame the Liberal party for allowing this election. Blame them for not holding him to account for bad behaviour.,negative,calling election early
"Trudeau absent, not even invited, because an election on the pandemic was what he imposed on Canadians, and having illegal and COVID unsafe rallies proves that.  My gosh Canada. Trudeau is a dangerous man  https://t.co/gX0bftEFSV",negative,calling election early
Justin Trudeau says all protester are anti vaccines! Not true many are fed up with his lies!,negative,tell lies
Breaking news….OToole is announcing right now on CTV that he will maintain all the current bans on assault and automatic weapons. Secondly he’s lambasting Trudeau for the rise in crime in last 6 years  He looks real good,positive,
I hope that #OToole and the #Conservatives loudly condemn this abusive behaviour. Just awful. What's happening to our democracy?,negative,others
Trudeau making all these promises that he has made before and not delivered on? Such a farce. A moron. Useless. Embarrassing.,negative,tell lies
@suzannealma @inky_mark @erinotoole Otoole displays the same contempt for Canadians as the blackfaced former PM.  Racist policies  #VotePPC to end this apartheid,negative,women reproductive right and racism
Is it just me or is Erin Otoole running the most LAZY ASS PHONE IT IN CAMPAIGN in Canadian History?,negative,others
@Chasingharmony1 @JustWatchMe14 @erinotoole OTOOLE you are a dangerous fool and you need to call off your attack dogs,negative,scandal
Trudeau is desperate on the debate tonight.. Trying to recoup the ground lost.. Pathetic display by the failed makeup artist...Sad #cdnpoli,negative,others
"@WoodyBezan @DianeMariePosts Misleading is as bad as lying for me. I agree, OToole is no leader.",negative,others
"@davidakin Take a look at Alberta, Canadians!  We have a premier from Ontario and he's destroying Alberta.  He's so bad, he's been hidden away during the election campaign.",negative,others
@felicetti33 @habs1993 Voters will punish Trudeau for calling his unnecessary vanity election.  Canada has many crisis still occurring and he is increasing taxes on everything we do and bankrupting our country into your grandkids days.,negative,calling election early
Why should Canadian taxpayers pay for this vanity election and a midlife crisis?? Fire this bum! #TrudeauMustGo  https://t.co/n7k05ICg35,negative,calling election early
"🤦🏼‍♀️ What a nasty man Trudeau is. Trudeau dismisses pro-freedom protesters as “angry, racist and misogynistic”  https://t.co/u3eL3Xg488 via @truenorthcentre",negative,others
Trudeau is destroying O'Toole on childcare😂  O'Toole has that stupid uncomfortable grin...lol  Weasel.  Paul chimes in stating too many men on this stage are clueless😂  She's all for uni-childcare😂❤,negative,others
Trudeau's vanity election in the middle of the worst outbreak of covid19 is for one reason only! Shut down all investigations into his criminal activities in #cdnpoli  #Toronto #onpoli #vanre #bcpoli #Elxn44  https://t.co/mfEMksilUE,negative,calling election early
"How many soccer moms trapped in Afghanistan now because of your selfish election &amp; evacuation catastrophe would give EVERYTHING they have to say ""Thank you for bring us to Canada PM O'Toole""? SIT DOWN MA'ME! #OTooleForPM #WomensRights",negative,others
@Concern23526872 @SpiggyMoon @JustinTrudeau Hates Canada. Hates Canadians. The country will continue to die with his election.,negative,calling election early
"O'Toole is so full of BS.  Is he actually saying that Trudeau is embarrassed of Canadians??  And he repeats ""in the middle of a pandemic""?  He wanted an election a year ago!  Such a freaking liar!",negative,tell lies
@TWilsonOttawa I just listened to OToole say he would keep last years ban on assault style rifles in place anyone care to explain. WTF,negative,gun control
"Let it sink in , 600 Million dollars spent for an election. We have homeless people, Vets who need help and natives without clean water. Every Canadian should be mad at this right now. You heartless assholes.",negative,calling election early
"@JustinTrudeau the minute you threatened Canadians on withholding healthcare if they are not vaccinated was the minute you lost the election, shame on you.we will leave no one behind",negative,healthcare and marijuana
"@bruce_croxon @globeandmail @acoyne Trudeau should be punished for a useless election, unfortunately, too man Canadians just do not care.",negative,calling election early
@jim_duffus This is the responsibility of Pierre Trudeau! The other half of the wrecking crew! Pierre started destroying this country &amp; @JustinTrudeau wants to finish it! The 2 worst PM in the history of this country!,negative,others
"@sunlorrie Just like Otoole is frustrated with LGBTQ, immigrants, public healthcare, and a lack of assault weapons on the streets, or is his hypocrisy a bit different?",negative,others
Absolutely disgusting that @JustinTrudeau would call an election to try and get a majority and risk putting Canadians health at risk.  Shame on you,negative,calling election early
@JustinTrudeau You say you called the election because Canadians should have a say about how we handle this then you condemn them for protesting against the vaccine. Would just stop with your stupid rehearsed answers.,negative,calling election early
"Trudeau visits hospital ward violating cove rules! Scumbag! LILLEY: Trudeau's photographer posts, deletes controversial images.  https://t.co/PeSWBVkOjn",negative,tell lies
CANADIANS BEING FORCED TO TAKE THIS EXPERIMENTAL JAB - TRUDEAU CRIES 'STOP THROWING STONES AT ME'  https://t.co/Vt277kcymN via @BitChute,negative,covid 
"@KowalskiPhotos @JillianHortonMD @JustinTrudeau Trudeau forced an election during a pandemic, everybody should have a beef with him for killing Canadians and wasting millions...",negative,calling election early
@Mjinvesting2021 @JustinTrudeau Trudeau government is weak on criminals using guns… then turns around and blames legal gun owners. Makes sense.,negative,gun control
Alright #Alberta #Liberals. Its YOUR turn! Put your money where your mouth is and hurt the Cons! Fuck Kenney and fuck OToole!  RALLY BEHIND THE #NDP IN THIS RIDING #Elxn44,positive,
"just blocked someone for lying about Cindy Blackstock’s work advocating for Indigenous children, holding the Canadian government accountable for its failures. how low can you go during an election campaign? seriously. 😡",negative,others
OToole WILL repeal the ban on assault weapons #Elxn44 #IStandWithTrudeau,negative,gun control
"Canadians rare chance to Shame Their PM: If The Liberals In Tomorrows Election lose seats This UNNECESSARY election by an Arrogant Justin Trudeau will be the Dumbest in Canadian History – September 19, 2021    https://t.co/qgIRRvqGXN",negative,calling election early
@saucy1234567 @glen_mcgregor Too bad Trudeau was more concerned about his selfish ego election than worrying about the health of millions of Canadians he’s risking.,negative,covid 
"This Election is about Canadian Freedom!!!  Without FREEDOM, you get ENSLAVEMENT  Do you want FREEDOM or ENSLAVEMENT?  It is that simple.  The rest of the dialectic is just noise to distract you from the 'real' issue - FREEDOM.  https://t.co/3moLcSUagL",positive,
"Erin O'Toole is blaming Trudeau for dividing Canadians because of Trudeau's support of vaccinations. If this doesn't seal Erin's demise, what the Hell will? Can you imagine if this idiot was in office during the Pandemic?",negative,covid 
"Your Progressive Conservative government will unfortunately not win your Canadian Federal Election tomorrow. Unfortunately your current Liberal government representing Canada will win this $600 million election. I would vote conservative, you worked hard.",positive,
Canada 2.5 million mail in ballots will be counted after the election.  What could go wrong?  #VotePPC  Enough of these cheating criminals.,negative,tell lies
"@italgal67 Look at the crowds and surging in the poles, If that doesn’t turn into seats, then we have serious problems with election fraud. Canadians are waking up this liberal marxism that is destroying everything.",negative,tell lies
"Last one of the night! Lookin like us NDP need to rally behind the Libs. Itll hurt, but NOT as much as the Cons running the #SunshineCoast! #Elxn44 lets say #NoBlue and fuck OToole! Deny them every seat possible! #AnythingButConservative",positive,
I hate this election. The Liberals should never have called it. There's too much on the line and this pitiful attempt at a majority risks ruining everything for Canadians.,negative,calling election early
"@glen_mcgregor C'mon man... what's bizarre is that there were no clips of J.T.s 50 minute takedown of Otoole from earlier in the day, bc this nonsense took over again... so are journalists stupid or complicit?!",negative,others
